name,primary_category,apple_categories,cueola_tags,semantic_names,availability,source_path,runtime_path,aliases
arrow.counterclockwise,arrows,arrows,action:navigation,action.reset,2019,source/arrows/arrow.counterclockwise.svg,runtime/regular-small/arrows/arrow.counterclockwise.svg,
arrow.down.left.and.arrow.up.right,arrows,arrows;cameraandphotos,action:navigation,,2023,source/arrows/arrow.down.left.and.arrow.up.right.svg,runtime/regular-small/arrows/arrow.down.left.and.arrow.up.right.svg,
arrow.down.to.line,arrows,arrows;keyboard,action:navigation,action.download,2019,source/arrows/arrow.down.to.line.svg,runtime/regular-small/arrows/arrow.down.to.line.svg,
arrow.up.right.and.arrow.down.left,arrows,arrows;cameraandphotos,action:navigation,,2023,source/arrows/arrow.up.right.and.arrow.down.left.svg,runtime/regular-small/arrows/arrow.up.right.and.arrow.down.left.svg,
arrow.up.to.line,arrows,arrows;keyboard,action:navigation,action.upload,2019,source/arrows/arrow.up.to.line.svg,runtime/regular-small/arrows/arrow.up.to.line.svg,
arrow.uturn.left,arrows,arrows,action:navigation,,2019,source/arrows/arrow.uturn.left.svg,runtime/regular-small/arrows/arrow.uturn.left.svg,
arrow.uturn.right,arrows,arrows,action:navigation,,2019,source/arrows/arrow.uturn.right.svg,runtime/regular-small/arrows/arrow.uturn.right.svg,
arrowshape.down,arrows,arrows,action:navigation,action.down,2023,source/arrows/arrowshape.down.svg,runtime/regular-small/arrows/arrowshape.down.svg,
arrowshape.left,arrows,arrows;automotive,action:navigation,action.back,2022,source/arrows/arrowshape.left.svg,runtime/regular-small/arrows/arrowshape.left.svg,
arrowshape.right,arrows,arrows;automotive,action:navigation,action.forward,2022,source/arrows/arrowshape.right.svg,runtime/regular-small/arrows/arrowshape.right.svg,
arrowshape.turn.up.right,arrows,arrows,action:navigation,,2019,source/arrows/arrowshape.turn.up.right.svg,runtime/regular-small/arrows/arrowshape.turn.up.right.svg,
